>379, dA[0.036,0.203] dB[0.193,0.192] g[6.042,7.407]
>380, dA[0.136,0.031] dB[0.130,0.165] g[4.371,5.967]
>381, dA[0.076,0.043] dB[0.159,0.080] g[4.994,6.228]
>382, dA[0.074,0.110] dB[0.164,0.052] g[5.858,7.246]
>383, dA[0.043,0.017] dB[0.028,0.259] g[7.207,9.744]
>384, dA[0.042,0.045] dB[0.277,0.183] g[4.950,6.124]
>385, dA[0.068,0.085] dB[0.108,0.116] g[4.598,6.012]
>386, dA[0.034,0.050] dB[0.231,0.134] g[6.626,8.299]
>387, dA[0.109,0.046] dB[0.204,0.422] g[4.381,5.062]
>388, dA[0.116,0.276] dB[0.184,0.076] g[4.268,4.721]
